year,glob_avg_tmp,city_avg_tmp
1750,8.72,12.53
1751,7.98,12.99
1752,5.78,7.68
1753,8.39,11.96
1754,8.47,11.79
1755,8.36,11.57
1756,8.85,12.13
1757,9.02,11.80
1758,6.74,11.02
1759,7.99,12.12
1760,7.19,11.94
1761,8.77,12.21
1762,8.61,11.99
1763,7.50,11.54
1764,8.40,12.18
1765,8.25,12.02
1766,8.41,11.86
1767,8.22,11.35
1768,6.78,10.97
1769,7.69,11.79
1770,7.69,11.76
1771,7.85,11.89
1772,8.19,13.32
1773,8.22,11.87
1774,8.77,11.97
1775,9.18,12.36
1776,8.30,11.59
1777,8.26,11.50
1778,8.54,12.43
1779,8.98,12.57
1780,9.43,12.31
1781,8.10,12.49
1782,7.90,11.46
1783,7.68,12.18
1784,7.86,11.61
1785,7.36,11.36
1786,8.26,11.51
1787,8.03,12.15
1788,8.45,12.40
1789,8.33,11.62
1790,7.98,12.22
1791,8.23,12.41
1792,8.09,11.97
1793,8.23,11.85
1794,8.53,12.42
1795,8.35,11.76
1796,8.27,12.05
1797,8.51,12.51
1798,8.67,12.20
1799,8.51,11.29
1800,8.48,12.41
1801,8.59,12.64
1802,8.58,12.75
1803,8.50,11.71
1804,8.84,12.22
1805,8.56,10.91
1806,8.43,12.11
1807,8.28,12.29
1808,7.63,10.73
1809,7.08,11.46
1810,6.92,11.83
1811,6.86,12.47
1812,7.05,10.95
1813,7.74,11.38
1814,7.59,10.76
1815,7.24,11.25
1816,6.94,10.59
1817,6.98,11.56
1818,7.83,11.86
1819,7.37,11.87
1820,7.62,11.91
1821,8.09,11.64
1822,8.19,12.75
1823,7.72,11.52
1824,8.55,12.04
1825,8.39,11.88
1826,8.36,11.75
1827,8.81,11.86
1828,8.17,12.26
1829,7.94,10.97
1830,8.52,11.76
1831,7.64,11.95
1832,7.45,11.38
1833,8.01,11.43
1834,8.15,12.27
1835,7.39,10.90
1836,7.70,11.41
1837,7.38,10.76
1838,7.51,11.17
1839,7.63,11.86
1840,7.80,11.46
1841,7.69,12.61
1842,8.02,11.42
1843,8.17,11.69
1844,7.65,11.67
1845,7.85,11.74
1846,8.55,12.81
1847,8.09,11.50
1848,7.98,11.89
1849,7.98,11.69
1850,7.90,10.99
1851,8.18,11.19
1852,8.10,12.01
1853,8.04,11.63
1854,8.21,11.24
1855,8.11,11.44
1856,8.00,11.65
1857,7.76,11.44
1858,8.10,11.06
1859,8.25,11.92
1860,7.96,11.31
1861,7.85,11.88
1862,7.56,12.24
1863,8.11,12.48
1864,7.98,11.18
1865,8.18,12.03
1866,8.29,12.01
1867,8.44,12.12
1868,8.25,12.08
1869,8.43,11.67
1870,8.20,11.32
1871,8.12,11.05
1872,8.19,12.43
1873,8.35,12.08
1874,8.43,11.30
1875,7.86,11.25
1876,8.08,11.93
1877,8.54,11.81
1878,8.83,11.81
1879,8.17,11.42
1880,8.12,11.98
1881,8.27,11.76
1882,8.13,12.18
1883,7.98,11.24
1884,7.77,11.29
1885,7.92,11.97
1886,7.95,11.90
1887,7.91,11.53
1888,8.09,11.29
1889,8.32,11.28
1890,7.97,11.20
1891,8.02,11.23
1892,8.07,11.87
1893,8.06,11.75
1894,8.16,11.77
1895,8.15,11.63
1896,8.21,11.17
1897,8.29,11.90
1898,8.18,12.35
1899,8.40,11.87
1900,8.50,12.16
1901,8.54,11.44
1902,8.30,11.73
1903,8.22,11.76
1904,8.09,12.16
1905,8.23,11.44
1906,8.38,11.44
1907,7.95,11.61
1908,8.19,11.40
1909,8.18,11.35
1910,8.22,11.59
1911,8.18,12.03
1912,8.17,11.43
1913,8.30,11.80
1914,8.59,11.48
1915,8.59,11.66
1916,8.23,12.27
1917,8.02,11.58
1918,8.13,11.53
1919,8.38,11.39
1920,8.36,12.61
1921,8.57,12.11
1922,8.41,11.79
1923,8.42,12.32
1924,8.51,11.94
1925,8.53,11.85
1926,8.73,12.42
1927,8.52,12.79
1928,8.63,12.48
1929,8.24,11.70
1930,8.63,12.59
1931,8.72,12.01
1932,8.71,11.87
1933,8.34,11.61
1934,8.63,12.56
1935,8.52,12.09
1936,8.55,12.26
1937,8.70,12.45
1938,8.86,11.89
1939,8.76,11.95
1940,8.76,11.05
1941,8.77,11.18
1942,8.73,12.04
1943,8.76,12.99
1944,8.85,11.78
1945,8.58,12.48
1946,8.68,12.55
1947,8.80,12.87
1948,8.75,12.34
1949,8.59,12.51
1950,8.37,13.09
1951,8.63,12.66
1952,8.64,12.61
1953,8.87,12.16
1954,8.56,11.65
1955,8.63,12.22
1956,8.28,11.25
1957,8.73,12.27
1958,8.77,12.42
1959,8.73,12.24
1960,8.58,12.39
1961,8.80,12.75
1962,8.75,11.92
1963,8.86,12.04
1964,8.41,12.18
1965,8.53,11.77
1966,8.60,12.24
1967,8.70,12.44
1968,8.52,12.08
1969,8.60,11.92
1970,8.70,12.22
1971,8.60,11.90
1972,8.50,11.95
1973,8.95,11.91
1974,8.47,11.94
1975,8.74,12.06
1976,8.35,11.57
1977,8.85,12.26
1978,8.69,11.51
1979,8.73,12.14
1980,8.98,11.29
1981,9.17,12.03
1982,8.64,12.74
1983,9.03,12.30
1984,8.69,11.60
1985,8.66,12.43
1986,8.83,12.26
1987,8.99,12.44
1988,9.20,12.72
1989,8.92,12.39
1990,9.23,12.83
1991,9.18,12.05
1992,8.84,12.89
1993,8.87,12.71
1994,9.04,13.53
1995,9.35,12.47
1996,9.04,12.28
1997,9.20,13.13
1998,9.52,12.96
1999,9.29,12.95
2000,9.20,13.42
2001,9.41,13.23
2002,9.57,13.14
2003,9.53,13.62
2004,9.32,12.75
2005,9.70,12.16
2006,9.53,12.87
2007,9.73,13.32
2008,9.43,13.01
2009,9.51,13.28
2010,9.70,12.63
2011,9.52,13.46
2012,9.51,13.45
2013,9.61,13.60
